order_id,date,product,region,channel,quantity,unit_price,sales
42,2024-09-08,Laptop,Nakhon Ratchasima,Retail,3,519,1557
43,2024-10-20,Mouse,Nakhon Ratchasima,Online,1,599,599
44,2024-12-18,Monitor,Chiang Mai,Online,1,1072,1072
45,2025-03-11,Keyboard,Nakhon Ratchasima,Distributor,7,594,4158
46,2025-05-10,Keyboard,Khon Kaen,Distributor,2,755,1510
47,2025-12-26,Dock,Chiang Mai,Distributor,2,879,1758
48,2025-05-18,Laptop,Rayong,Distributor,3,744,2232
49,2025-10-25,Laptop,Nakhon Ratchasima,Retail,8,923,7384
50,2025-02-11,Tablet,Khon Kaen,Online,6,1241,7446
51,2024-10-17,Dock,Khon Kaen,Retail,2,105,210
52,2024-10-06,Headphones,Rayong,Retail,2,1371,2742
53,2024-10-04,Keyboard,Khon Kaen,Distributor,2,472,944
54,2024-06-27,Keyboard,Ayutthaya,Distributor,5,1083,5415
55,2024-09-10,Headphones,Chonburi,Distributor,7,185,1295
56,2025-11-19,Monitor,Chonburi,Distributor,6,803,4818
57,2025-09-09,Webcam,Chiang Mai,Distributor,4,29,116
58,2024-11-06,Tablet,Khon Kaen,Retail,2,1414,2828
59,2024-06-20,SSD,Khon Kaen,Retail,7,1182,8274
60,2024-04-12,Keyboard,Rayong,Online,7,370,2590
61,2025-11-03,Headphones,Chiang Mai,Retail,3,256,768
62,2025-04-14,Tablet,Ayutthaya,Online,8,961,7688
63,2024-12-04,SSD,Phuket,Retail,3,1266,3798
64,2025-09-16,Tablet,Phuket,Retail,2,667,1334
65,2025-03-21,Laptop,Chonburi,Online,8,215,1720
66,2025-02-15,SSD,Chonburi,Distributor,4,267,1068
67,2025-01-31,Tablet,Rayong,Retail,3,1176,3528
68,2025-01-20,Laptop,Chonburi,Online,2,833,1666
69,2024-02-01,Dock,Nakhon Ratchasima,Distributor,3,192,-576
70,2024-02-03,Headphones,Chiang Mai,Distributor,7,559,3913
71,2025-03-20,Keyboard,Chonburi,Online,8,581,4648
72,2025-11-29,Router,Chiang Mai,Distributor,4,286,1144
73,2025-08-04,Router,Nakhon Ratchasima,Retail,3,969,2907
74,2025-03-09,Keyboard,Bangkok,Retail,2,1017,2034
75,2024-02-05,Headphones,Chonburi,Retail,3,942,2826
76,2025-01-24,Headphones,Khon Kaen,Retail,7,657,4599
77,2025-09-24,Tablet,Rayong,Online,4,626,2504
78,2024-09-21,Headphones,Rayong,Distributor,6,1085,6510
79,2025-01-25,SSD,Bangkok,Online,7,457,3199
80,2024-11-28,Dock,Rayong,Retail,5,989,4945
81,2024-05-18,Keyboard,Khon Kaen,Online,5,957,4785
82,2024-02-09,Tablet,Ayutthaya,Retail,7,898,6286
83,2025-05-23,SSD,Chonburi,Distributor,6,716,4296
84,2024-03-16,SSD,Rayong,Retail,1,197,197
85,2024-04-07,Tablet,Phuket,Online,2,835,1670
86,2024-07-06,Router,Ayutthaya,Retail,1,52,52
87,2024-10-16,Headphones,Phuket,Distributor,6,1085,6510
88,2025-04-12,Headphones,Chonburi,Retail,6,1407,8442
89,2024-10-07,Webcam,Bangkok,Online,5,647,3235
90,2024-01-30,Router,Bangkok,Retail,4,340,1360
91,2024-02-03,Dock,Khon Kaen,Distributor,5,916,4580
92,2025-09-23,Dock,Chiang Mai,Distributor,6,902,5412
93,2024-02-24,Tablet,Phuket,Retail,7,1181,8267
94,2024-11-02,Webcam,Chonburi,Retail,7,292,2044
95,2025-09-09,Router,Phuket,Online,7,565,3955
96,2025-08-07,Tablet,Phuket,Retail,1,49,49
97,2024-12-30,Laptop,Chonburi,Online,8,202,1616
98,2025-10-15,Tablet,Rayong,Retail,2,1104,2208
99,2025-07-01,Keyboard,Chiang Mai,Retail,1,197,197
100,2025-07-17,Mouse,Bangkok,Retail,2,390,780
101,2025-01-27,Keyboard,Ayutthaya,Online,3,1239,3717
102,2024-07-28,SSD,Ayutthaya,Retail,3,842,2526
103,2024-06-03,Headphones,Rayong,Distributor,3,1201,3603
104,2025-07-28,Laptop,Chiang Mai,Online,1,216,216
105,2024-05-17,Tablet,Khon Kaen,Distributor,7,1389,9723
106,2024-11-19,Monitor,Khon Kaen,Retail,5,662,3310
107,2025-10-16,Tablet,Chonburi,Distributor,3,922,2766
108,2024-01-07,Monitor,Nakhon Ratchasima,Online,5,1391,6955
109,2024-09-18,Keyboard,Khon Kaen,Distributor,8,1230,9840
110,2024-10-04,Monitor,Khon Kaen,Retail,8,1443,11544
111,2025-02-18,Monitor,Chiang Mai,Online,6,778,4668
112,2025-09-19,Webcam,Chiang Mai,Online,8,936,7488
113,2025-07-13,Mouse,Bangkok,Distributor,2,1492,2984
114,2025-12-04,SSD,Khon Kaen,Retail,7,1219,8533
115,2024-06-06,Dock,Bangkok,Online,7,249,1743
116,2025-01-29,Webcam,Chonburi,Online,3,1158,3474
117,2025-09-04,Laptop,Ayutthaya,Distributor,6,1271,7626
118,2025-08-23,Router,Chonburi,Distributor,7,239,1673
119,2024-06-02,Laptop,Nakhon Ratchasima,Retail,2,463,926
120,2025-09-21,Headphones,Nakhon Ratchasima,Distributor,1,159,159
121,2025-07-15,Tablet,Khon Kaen,Online,2,199,398
122,2024-11-27,Tablet,Bangkok,Retail,8,806,6448
123,2024-05-05,Laptop,Chonburi,Distributor,8,27,216
124,2025-07-16,Tablet,Chiang Mai,Online,5,642,3210
125,2025-05-26,Headphones,Chonburi,Distributor,6,1285,7710
126,2025-03-15,Webcam,Chiang Mai,Distributor,2,845,1690
127,2025-07-23,Webcam,Phuket,Retail,6,986,5916
128,2025-04-17,Keyboard,Chiang Mai,Distributor,5,1448,7240
129,2025-05-03,Monitor,Phuket,Online,8,101,808
130,2024-12-29,Headphones,Khon Kaen,Retail,3,371,1113
131,2025-11-27,Keyboard,Chiang Mai,Online,3,536,1608
132,2024-10-01,Router,Bangkok,Retail,5,1078,5390
133,2025-02-01,Laptop,Nakhon Ratchasima,Retail,8,1388,11104
134,2025-02-21,Laptop,Khon Kaen,Online,7,673,4711
135,2024-11-10,SSD,Nakhon Ratchasima,Distributor,8,213,1704
136,2025-11-29,SSD,Nakhon Ratchasima,Distributor,1,337,337
137,2025-05-21,Tablet,Rayong,Retail,2,1477,2954
138,2025-09-20,Laptop,Nakhon Ratchasima,Retail,8,1097,8776
139,2025-09-18,Mouse,Khon Kaen,Online,7,669,4683
140,2025-03-30,Dock,Phuket,Distributor,4,523,2092
141,2025-05-24,Keyboard,Ayutthaya,Retail,3,587,1761
142,2024-10-09,Webcam,Khon Kaen,Retail,7,598,4186
143,2024-07-01,Monitor,Phuket,Retail,2,661,1322
144,2024-07-01,Tablet,Bangkok,Distributor,3,573,1719
145,2025-01-14,Headphones,Chiang Mai,Online,1,1449,1449
146,2024-02-11,Laptop,Khon Kaen,Distributor,1,1441,1441
147,2025-02-26,Tablet,Bangkok,Online,6,1110,6660
148,2025-11-20,Dock,Chiang Mai,Online,3,940,2820
149,2025-01-22,Headphones,Chonburi,Retail,3,619,1857
150,2024-05-05,Mouse,Chonburi,Distributor,3,1010,3030
151,2024-11-14,Tablet,Rayong,Distributor,2,737,1474
152,2025-11-14,Webcam,Rayong,Online,8,1062,8496
153,2025-01-20,Mouse,Khon Kaen,Retail,4,184,736
154,2024-02-26,Tablet,Rayong,Distributor,3,1489,4467
155,2025-08-01,Router,Nakhon Ratchasima,Distributor,7,314,2198
156,2025-05-16,Keyboard,Ayutthaya,Online,7,286,2002
157,2024-12-27,Monitor,Ayutthaya,Online,8,525,4200
158,2024-05-19,Monitor,Chonburi,Retail,3,91,273
159,2024-10-28,Monitor,Rayong,Online,6,736,-4416
160,2024-03-13,SSD,Khon Kaen,Retail,7,1160,8120
161,2024-07-08,Monitor,Bangkok,Online,3,193,579
162,2024-03-24,Tablet,Phuket,Retail,3,904,2712
163,2024-03-03,Dock,Bangkok,Retail,3,1278,3834
164,2025-10-19,Monitor,Chonburi,Online,6,714,4284
165,2025-06-13,Laptop,Chonburi,Distributor,8,967,7736
166,2025-11-23,Webcam,Khon Kaen,Retail,5,74,370
167,2024-06-21,Webcam,Phuket,Retail,3,1151,3453
168,2025-12-21,Monitor,Chonburi,Retail,3,620,1860
169,2025-10-19,Monitor,Rayong,Online,2,921,1842
170,2024-06-07,Dock,Khon Kaen,Retail,7,1289,9023
171,2024-07-23,Headphones,Ayutthaya,Online,6,711,4266
172,2025-12-09,Tablet,Bangkok,Distributor,6,949,5694
173,2024-09-26,Webcam,Rayong,Retail,1,1193,-1193
174,2025-12-26,Monitor,Chonburi,Retail,1,768,768
175,2024-07-28,Monitor,Phuket,Distributor,6,146,876
176,2024-08-25,Webcam,Bangkok,Online,5,1489,7445
177,2024-03-29,Keyboard,Chiang Mai,Retail,7,323,2261
178,2025-04-22,Mouse,Chonburi,Retail,2,95,190
179,2024-10-16,Laptop,Phuket,Distributor,6,281,1686
180,2024-01-05,Tablet,Nakhon Ratchasima,Online,7,1139,7973
181,2025-04-13,Webcam,Nakhon Ratchasima,Retail,6,658,3948
182,2025-07-03,Laptop,Ayutthaya,Online,1,1087,1087
183,2024-02-11,Laptop,Phuket,Distributor,8,406,3248
184,2024-05-09,Mouse,Ayutthaya,Retail,7,1389,9723
185,2025-09-07,Mouse,Nakhon Ratchasima,Distributor,2,1102,2204
186,2024-10-13,SSD,Nakhon Ratchasima,Online,3,155,465
187,2025-05-29,Webcam,Phuket,Distributor,5,1389,6945
188,2025-08-19,Mouse,Bangkok,Distributor,1,1412,1412
189,2025-12-02,Webcam,Rayong,Distributor,5,825,4125
190,2024-08-05,Headphones,Chonburi,Online,1,990,990
191,2024-07-14,Headphones,Rayong,Distributor,7,1434,10038
192,2025-07-12,Keyboard,Khon Kaen,Retail,2,307,614
193,2025-04-10,Router,Phuket,Retail,1,1202,1202
194,2024-10-04,Monitor,Bangkok,Online,3,1132,3396
195,2024-07-07,Dock,Ayutthaya,Retail,4,561,2244
196,2024-06-14,Webcam,Chonburi,Online,5,940,4700
197,2024-09-04,SSD,Rayong,Retail,6,537,3222
198,2025-11-30,Laptop,Rayong,Online,7,996,6972
199,2024-10-28,Webcam,Chiang Mai,Distributor,6,1229,7374
200,2025-04-20,Monitor,Nakhon Ratchasima,Online,5,750,3750
201,2024-06-08,Headphones,Nakhon Ratchasima,Online,8,1282,10256
202,2024-03-19,Webcam,Rayong,Retail,1,1088,1088
203,2024-08-25,Keyboard,Nakhon Ratchasima,Retail,8,1149,9192
204,2024-08-11,Mouse,Khon Kaen,Retail,6,713,4278
205,2024-12-31,Tablet,Chonburi,Retail,1,569,569
206,2024-01-14,Dock,Phuket,Retail,5,1121,5605
207,2025-05-24,Tablet,Bangkok,Online,8,1485,11880
208,2024-09-12,SSD,Rayong,Distributor,7,577,4039
209,2025-07-28,Headphones,Bangkok,Retail,1,913,913
210,2025-12-01,Router,Phuket,Distributor,5,1038,5190
211,2024-10-25,Headphones,Chonburi,Retail,3,979,2937
212,2024-10-17,Laptop,Khon Kaen,Distributor,4,108,432
213,2025-03-03,SSD,Nakhon Ratchasima,Retail,5,278,1390
214,2025-01-12,Headphones,Khon Kaen,Online,8,817,6536
215,2025-03-05,Router,Rayong,Distributor,5,279,1395
216,2024-03-08,Webcam,Khon Kaen,Online,2,1470,2940
217,2024-10-04,Tablet,Chonburi,Online,6,395,2370
218,2024-03-06,Laptop,Rayong,Online,4,1465,5860
219,2025-04-17,Dock,Chiang Mai,Distributor,7,82,574
220,2024-05-14,Keyboard,Rayong,Retail,3,1259,3777
221,2025-10-15,Dock,Phuket,Retail,7,491,3437
222,2024-03-27,Dock,Chiang Mai,Distributor,7,27,189
223,2025-11-03,Monitor,Phuket,Online,3,733,2199
224,2024-10-04,Keyboard,Phuket,Online,3,943,2829
225,2025-11-22,Headphones,Chonburi,Distributor,2,1331,2662
226,2025-03-09,Dock,Nakhon Ratchasima,Retail,2,1436,2872
227,2024-01-11,SSD,Ayutthaya,Retail,5,1448,7240
228,2024-05-03,Webcam,Rayong,Online,6,242,1452
229,2024-03-21,Monitor,Rayong,Retail,3,868,2604
230,2025-10-03,Tablet,Rayong,Distributor,5,1497,7485
231,2025-02-15,Mouse,Chonburi,Retail,6,1406,8436
232,2024-08-02,Webcam,Khon Kaen,Distributor,2,1265,2530
233,2025-11-20,Webcam,Khon Kaen,Distributor,3,865,2595
234,2024-04-26,Dock,Khon Kaen,Retail,4,915,3660
235,2025-09-23,Laptop,Ayutthaya,Distributor,1,1014,1014
236,2024-12-31,Headphones,Khon Kaen,Online,7,757,5299
237,2024-08-20,Headphones,Ayutthaya,Retail,7,1365,9555
238,2025-11-19,Webcam,Khon Kaen,Retail,7,1027,7189
239,2024-05-01,Router,Nakhon Ratchasima,Online,8,949,7592
240,2025-02-05,Dock,Phuket,Online,8,1121,8968
241,2025-12-25,Keyboard,Chonburi,Retail,5,638,3190
242,2025-08-14,Headphones,Chonburi,Online,8,262,2096
243,2025-06-12,Laptop,Nakhon Ratchasima,Retail,7,1145,8015
244,2024-01-21,Tablet,Khon Kaen,Distributor,7,1277,8939
245,2025-05-08,Keyboard,Chonburi,Distributor,4,493,1972
246,2025-09-07,Mouse,Bangkok,Online,8,887,7096
247,2024-10-12,Dock,Rayong,Online,4,399,1596
248,2025-02-28,Router,Chonburi,Online,6,1140,6840
249,2024-12-06,SSD,Rayong,Distributor,4,1215,4860
250,2025-01-13,Headphones,Bangkok,Retail,6,1169,7014
251,2025-02-26,Headphones,Rayong,Distributor,8,1412,11296
252,2024-08-07,Mouse,Chonburi,Distributor,3,279,837
253,2024-06-15,Keyboard,Ayutthaya,Online,3,719,2157
254,2024-08-24,Keyboard,Chonburi,Retail,3,670,2010
255,2025-11-21,Tablet,Bangkok,Retail,1,597,597
256,2024-10-17,Keyboard,Bangkok,Retail,5,939,4695
257,2024-02-14,Dock,Bangkok,Retail,4,510,2040
258,2024-06-12,Laptop,Bangkok,Retail,4,1008,4032
259,2025-05-24,Tablet,Nakhon Ratchasima,Online,4,421,-1684
260,2024-09-16,Mouse,Bangkok,Online,7,486,3402
261,2025-06-07,Monitor,Khon Kaen,Retail,5,431,2155
262,2024-09-02,Dock,Bangkok,Online,4,73,292
263,2025-11-06,Monitor,Chonburi,Online,2,145,290
264,2024-05-21,Monitor,Rayong,Online,2,379,758
265,2024-01-22,Laptop,Rayong,Online,3,780,2340
266,2025-05-28,Tablet,Rayong,Distributor,7,931,6517
267,2024-05-19,SSD,Rayong,Online,5,273,1365
268,2024-02-14,Webcam,Bangkok,Online,6,1203,7218
269,2024-01-14,SSD,Nakhon Ratchasima,Retail,3,1282,3846
270,2025-05-16,Laptop,Bangkok,Distributor,8,971,7768
271,2025-07-04,Keyboard,Phuket,Online,2,1110,2220
272,2024-12-17,Mouse,Phuket,Distributor,7,1250,8750
273,2025-03-06,Webcam,Nakhon Ratchasima,Distributor,2,177,354
274,2025-02-01,SSD,Chonburi,Online,8,1113,8904
275,2024-02-16,SSD,Nakhon Ratchasima,Distributor,6,923,5538
276,2025-02-17,Monitor,Rayong,Retail,2,530,1060
277,2025-12-24,Laptop,Chiang Mai,Distributor,4,569,2276
278,2025-11-14,Mouse,Chonburi,Retail,6,269,1614
279,2025-10-08,Dock,Ayutthaya,Distributor,5,1081,5405
280,2025-01-03,Dock,Khon Kaen,Retail,2,1431,2862
281,2024-09-05,Headphones,Ayutthaya,Distributor,4,1431,5724
282,2025-04-13,Dock,Bangkok,Distributor,8,1462,11696
283,2025-04-07,Laptop,Rayong,Retail,8,1273,10184
284,2024-03-22,Headphones,Rayong,Distributor,6,877,5262
285,2024-08-15,Mouse,Ayutthaya,Distributor,1,741,741
286,2025-11-27,Dock,Phuket,Distributor,6,251,1506
287,2024-11-18,Laptop,Chiang Mai,Online,2,35,70
288,2025-05-16,Router,Chiang Mai,Distributor,8,306,2448
289,2024-08-08,Webcam,Chiang Mai,Retail,4,297,1188
290,2024-07-18,Mouse,Phuket,Retail,1,194,194
291,2025-06-25,Keyboard,Phuket,Distributor,8,1461,11688
292,2025-04-21,Laptop,Phuket,Retail,6,551,3306
293,2025-03-23,Mouse,Ayutthaya,Retail,2,1249,2498
294,2025-11-22,Laptop,Rayong,Online,7,1151,8057
295,2024-10-07,Mouse,Rayong,Online,3,908,2724
296,2025-08-03,Laptop,Chonburi,Distributor,6,584,3504
297,2025-05-05,Tablet,Phuket,Distributor,5,649,3245
298,2025-02-22,Headphones,Bangkok,Retail,1,417,417
299,2025-09-22,Router,Khon Kaen,Distributor,5,418,2090
300,2024-09-05,Laptop,Rayong,Online,1,954,954
301,2025-04-17,Monitor,Nakhon Ratchasima,Retail,3,1382,4146
302,2024-07-21,Mouse,Bangkok,Online,6,384,2304
303,2025-08-04,Headphones,Chonburi,Online,6,81,486
304,2025-09-26,Dock,Rayong,Online,3,452,1356
305,2024-12-10,Mouse,Nakhon Ratchasima,Distributor,4,128,512
306,2024-12-19,SSD,Ayutthaya,Online,8,952,7616
307,2024-06-16,Webcam,Chiang Mai,Retail,5,381,1905
308,2024-09-16,Router,Rayong,Distributor,7,612,4284
309,2025-10-08,Laptop,Ayutthaya,Distributor,7,1397,9779
310,2025-02-07,Monitor,Ayutthaya,Distributor,5,1404,7020
311,2025-09-26,Monitor,Rayong,Online,1,795,795
312,2024-12-16,Dock,Chiang Mai,Retail,3,249,747
313,2025-03-24,Tablet,Ayutthaya,Distributor,6,867,5202
314,2025-10-21,Laptop,Khon Kaen,Online,4,350,1400
315,2024-06-06,Tablet,Khon Kaen,Retail,1,720,720
316,2025-01-03,Monitor,Chiang Mai,Online,1,1189,1189
317,2025-12-07,Monitor,Ayutthaya,Retail,2,1409,2818
318,2024-07-06,Mouse,Rayong,Online,1,183,183
319,2024-11-15,Router,Khon Kaen,Distributor,5,202,1010
320,2025-09-27,Dock,Bangkok,Retail,3,80,240
321,2025-10-03,Mouse,Bangkok,Distributor,7,1269,8883
322,2025-02-26,Dock,Nakhon Ratchasima,Retail,8,93,744
323,2024-09-14,Laptop,Rayong,Distributor,2,781,1562
324,2024-09-24,Monitor,Ayutthaya,Distributor,2,325,650
325,2024-08-16,Keyboard,Khon Kaen,Retail,3,54,162
326,2024-03-10,Monitor,Ayutthaya,Retail,7,951,6657
327,2024-07-06,Tablet,Phuket,Retail,7,150,1050
328,2025-05-09,SSD,Chiang Mai,Retail,7,36,252
329,2024-02-26,Router,Ayutthaya,Retail,1,79,79
330,2025-11-04,Headphones,Rayong,Distributor,4,1224,4896
331,2025-05-08,Router,Ayutthaya,Online,2,1367,2734
332,2024-03-11,SSD,Rayong,Distributor,5,1003,5015
333,2024-03-31,Router,Phuket,Distributor,4,1470,5880
334,2024-11-01,Headphones,Ayutthaya,Distributor,8,1400,11200
335,2024-12-01,Router,Chiang Mai,Retail,3,102,306
336,2024-07-12,Monitor,Khon Kaen,Online,5,460,2300
337,2024-01-24,Dock,Bangkok,Distributor,7,42,294
338,2024-01-28,Mouse,Bangkok,Retail,7,165,1155
339,2025-01-02,Laptop,Khon Kaen,Distributor,8,565,4520
340,2025-04-07,Keyboard,Rayong,Online,3,1388,4164
341,2024-02-22,Monitor,Rayong,Online,6,316,1896
342,2025-11-14,SSD,Nakhon Ratchasima,Distributor,6,941,5646
343,2025-12-07,Webcam,Bangkok,Online,1,68,68
344,2025-12-08,Tablet,Khon Kaen,Retail,1,432,432
345,2024-09-22,SSD,Rayong,Retail,1,451,451
346,2024-07-09,Laptop,Rayong,Distributor,1,866,866
347,2024-11-12,SSD,Rayong,Online,8,429,3432
348,2025-04-30,Laptop,Chonburi,Retail,3,130,390
349,2025-05-27,Webcam,Khon Kaen,Retail,5,178,890
350,2025-09-18,Webcam,Khon Kaen,Retail,2,862,1724
351,2024-09-26,Dock,Rayong,Retail,3,1253,-3759
352,2025-07-18,Router,Phuket,Distributor,6,1042,6252
353,2024-06-01,Laptop,Chiang Mai,Retail,5,973,4865
354,2024-10-24,SSD,Phuket,Distributor,1,1342,1342
355,2025-08-17,Router,Nakhon Ratchasima,Distributor,5,660,3300
356,2024-10-10,Tablet,Phuket,Retail,6,225,1350
357,2024-03-05,Monitor,Chiang Mai,Retail,1,644,644
358,2025-01-23,Dock,Rayong,Distributor,8,395,3160
359,2025-03-23,Dock,Ayutthaya,Distributor,6,1344,8064
360,2025-06-11,Router,Chiang Mai,Retail,8,1185,9480
361,2025-01-16,Tablet,Chonburi,Retail,2,913,1826
362,2024-06-27,Headphones,Bangkok,Distributor,5,310,1550
363,2024-05-16,Webcam,Khon Kaen,Retail,4,1344,5376
364,2025-09-15,Monitor,Rayong,Distributor,2,1362,2724
365,2024-10-04,Mouse,Phuket,Distributor,2,1143,2286
366,2025-04-09,SSD,Ayutthaya,Online,7,1038,7266
367,2025-09-27,Laptop,Khon Kaen,Distributor,8,681,5448
368,2024-07-25,Headphones,Chonburi,Distributor,8,179,1432
369,2025-08-08,Tablet,Rayong,Online,8,905,7240
370,2025-02-14,SSD,Rayong,Distributor,1,318,318
371,2024-02-24,Keyboard,Khon Kaen,Online,7,1005,-7035
372,2024-06-07,Webcam,Nakhon Ratchasima,Distributor,7,722,5054
373,2024-05-16,Keyboard,Phuket,Retail,3,870,2610
374,2024-08-07,Keyboard,Bangkok,Distributor,2,386,772
375,2024-10-04,SSD,Phuket,Distributor,5,1184,5920
376,2024-11-04,SSD,Phuket,Distributor,6,890,5340
377,2024-05-24,Keyboard,Nakhon Ratchasima,Distributor,6,303,1818
378,2024-01-11,SSD,Nakhon Ratchasima,Distributor,2,1133,2266
379,2024-02-03,Headphones,Nakhon Ratchasima,Retail,1,481,481
380,2024-10-15,Monitor,Ayutthaya,Retail,3,306,918
381,2025-06-16,Monitor,Chiang Mai,Distributor,5,682,3410
382,2025-03-06,SSD,Phuket,Retail,5,829,4145
383,2025-05-31,Laptop,Rayong,Retail,5,409,2045
384,2024-10-08,Router,Rayong,Online,5,799,3995
385,2024-04-10,Dock,Bangkok,Distributor,4,143,572
386,2025-09-12,Dock,Chonburi,Retail,8,356,2848
387,2024-03-05,Dock,Bangkok,Online,7,336,2352
388,2024-03-20,Monitor,Phuket,Online,6,1077,6462
389,2025-03-10,Dock,Phuket,Retail,8,1131,9048
390,2025-03-12,Laptop,Phuket,Online,5,1397,6985
391,2024-05-14,Laptop,Chonburi,Online,7,1113,7791
392,2025-10-12,Mouse,Phuket,Distributor,2,1155,2310
393,2025-09-30,Router,Chiang Mai,Retail,2,95,190
394,2025-07-16,Tablet,Chiang Mai,Distributor,7,312,2184
395,2024-12-06,Keyboard,Ayutthaya,Online,1,1089,1089
396,2025-12-29,Monitor,Chonburi,Retail,6,391,2346
397,2025-02-27,Keyboard,Chiang Mai,Online,4,1172,4688
398,2024-12-17,Router,Bangkok,Online,4,66,264
399,2024-11-03,Mouse,Chonburi,Distributor,8,609,4872
400,2025-01-28,Laptop,Bangkok,Online,4,392,1568
401,2024-11-19,Webcam,Rayong,Retail,5,722,3610
402,2025-04-25,Keyboard,Khon Kaen,Retail,5,930,4650
403,2024-09-05,Tablet,Nakhon Ratchasima,Online,4,1088,4352
404,2024-10-10,Mouse,Rayong,Distributor,7,413,2891
405,2025-03-16,Headphones,Phuket,Distributor,7,346,2422
406,2025-12-30,Dock,Chiang Mai,Distributor,5,869,4345
407,2024-10-16,SSD,Khon Kaen,Retail,1,563,563
408,2024-09-16,Tablet,Phuket,Retail,5,165,825
409,2025-05-26,Dock,Rayong,Distributor,8,618,4944
410,2024-05-09,Dock,Bangkok,Online,1,735,735
411,2025-07-04,Webcam,Phuket,Online,8,856,6848
412,2025-05-24,Keyboard,Chonburi,Retail,1,1121,-1121
413,2024-07-05,Monitor,Chiang Mai,Retail,8,1027,8216
414,2025-07-03,Webcam,Bangkok,Distributor,8,763,6104
415,2025-03-21,Keyboard,Ayutthaya,Retail,8,761,6088
416,2024-11-09,Laptop,Ayutthaya,Online,3,445,-1335
417,2025-11-26,Tablet,Ayutthaya,Retail,3,280,840
418,2025-03-12,Headphones,Chonburi,Distributor,1,140,140
419,2024-09-01,Webcam,Nakhon Ratchasima,Retail,3,1060,3180
420,2024-11-13,Monitor,Khon Kaen,Online,2,1290,2580
421,2025-09-25,Laptop,Khon Kaen,Retail,7,1488,10416
422,2025-10-26,SSD,Chiang Mai,Retail,2,763,1526
423,2024-03-02,Keyboard,Phuket,Distributor,2,759,1518
424,2025-05-20,Headphones,Nakhon Ratchasima,Retail,1,1336,1336
425,2024-07-17,Keyboard,Khon Kaen,Online,1,304,304
426,2024-05-06,Keyboard,Chiang Mai,Retail,4,873,3492
427,2025-01-05,Mouse,Chiang Mai,Retail,1,964,964
428,2024-01-02,Mouse,Bangkok,Distributor,8,1185,9480
429,2024-01-11,Laptop,Phuket,Distributor,5,853,4265
430,2025-09-20,Monitor,Phuket,Retail,5,589,2945
431,2025-08-20,Headphones,Bangkok,Retail,4,620,2480
432,2024-08-20,Keyboard,Rayong,Online,3,1290,3870
433,2025-02-11,SSD,Chonburi,Distributor,3,566,1698
434,2024-08-22,Monitor,Chiang Mai,Retail,7,1070,7490
435,2025-03-30,Tablet,Chonburi,Retail,8,372,2976
436,2024-09-24,Headphones,Chonburi,Distributor,8,145,1160
